site_code,collection_date,lowest_taxon,L_mu_spe,L_me_spe,L_sd_spe,L_n_spe,family,L_mu_fam,L_me_fam,L_sd_fam,L_n_fam,L_mu_com,L_me_com,L_sd_com,L_n_com
AR,2020-09-20,G. affinis,29.181818181818183,29,4.976307502921856,11,Poeciliidae,29.181818181818183,29,4.976307502921856,11,58.81730769230769,46.5,39.59154671545281,104
AR,2020-09-20,G. dormitor,315,315,NA,1,Eleotridae,315,315,NA,1,58.81730769230769,46.5,39.59154671545281,104
AR,2020-09-20,H. cyanoguttatum,73.25,74.5,40.560000448269676,12,Cichlidae,73.25,74.5,40.560000448269676,12,58.81730769230769,46.5,39.59154671545281,104
AR,2020-09-20,I. punctatus,135,135,NA,1,Ictaluridae,135,135,NA,1,58.81730769230769,46.5,39.59154671545281,104
AR,2020-09-20,L. cyanellus,41.578947368421055,41,8.649443074387854,19,Centrarchidae,57.13157894736842,48,27.906196255915713,76,58.81730769230769,46.5,39.59154671545281,104
AR,2020-09-20,L. gulosus,72.5,72.5,31.81980515339464,2,Centrarchidae,57.13157894736842,48,27.906196255915713,76,58.81730769230769,46.5,39.59154671545281,104
AR,2020-09-20,L. macrochirus,57.21875,48,30.135965411619427,32,Centrarchidae,57.13157894736842,48,27.906196255915713,76,58.81730769230769,46.5,39.59154671545281,104
AR,2020-09-20,L. megalotis,59,51,22.84488758757392,19,Centrarchidae,57.13157894736842,48,27.906196255915713,76,58.81730769230769,46.5,39.59154671545281,104
AR,2020-09-20,M. salmoides,113.75,111,13.450526631573451,4,Centrarchidae,57.13157894736842,48,27.906196255915713,76,58.81730769230769,46.5,39.59154671545281,104
AR,2020-11-03,C. lutrensis,43.31428571428572,42,12.66484580749924,35,Leuciscidae,43.31428571428572,42,12.66484580749924,35,60.33888888888889,55.5,26.04983704232561,180
AR,2020-11-03,G. affinis,30,30,NA,1,Poeciliidae,30,30,NA,1,60.33888888888889,55.5,26.04983704232561,180
AR,2020-11-03,H. cyanoguttatum,91.07142857142857,92.5,53.667730292283416,14,Cichlidae,91.07142857142857,92.5,53.667730292283416,14,60.33888888888889,55.5,26.04983704232561,180
AR,2020-11-03,I. punctatus,81.5,79.5,9.678154093971983,4,Ictaluridae,81.5,79.5,9.678154093971983,4,60.33888888888889,55.5,26.04983704232561,180
AR,2020-11-03,L. cyanellus,52.90909090909091,53.5,10.836046946184453,22,Centrarchidae,61.22222222222222,58,20.418379519986942,126,60.33888888888889,55.5,26.04983704232561,180
AR,2020-11-03,L. gulosus,55.857142857142854,51,12.047524938461724,7,Centrarchidae,61.22222222222222,58,20.418379519986942,126,60.33888888888889,55.5,26.04983704232561,180
AR,2020-11-03,L. macrochirus,65.0204081632653,63,23.749991049049513,49,Centrarchidae,61.22222222222222,58,20.418379519986942,126,60.33888888888889,55.5,26.04983704232561,180
AR,2020-11-03,L. megalotis,61.9375,59.5,20.2373220097833,48,Centrarchidae,61.22222222222222,58,20.418379519986942,126,60.33888888888889,55.5,26.04983704232561,180
EM,2017-10-10,C. lutrensis,48.928,48.928,NA,1,Leuciscidae,39.8969,40.425,6.9172290306999304,20,62.05661971830986,41.36,68.20905660066938,71
EM,2017-10-10,D. cepedianum,164.45142857142858,144.43800000000002,42.64011419175275,7,Clupeidae,164.45142857142858,144.43800000000002,42.64011419175275,7,62.05661971830986,41.36,68.20905660066938,71
EM,2017-10-10,E. gracile,38,38,1.4142135623730951,2,Pecidae,38,38,1.4142135623730951,2,62.05661971830986,41.36,68.20905660066938,71
EM,2017-10-10,G. affinis,28.333333333333332,26.5,14.163546893559557,12,Poeciliidae,28.333333333333332,26.5,14.163546893559557,12,62.05661971830986,41.36,68.20905660066938,71
EM,2017-10-10,I. bubalus,509.98,509.98,NA,1,Catostomidae,509.98,509.98,NA,1,62.05661971830986,41.36,68.20905660066938,71
EM,2017-10-10,L. cyanellus,45.034,40.986000000000004,15.381068363413512,4,Centrarchidae,52.79110344827586,47.564,19.367608869200783,29,62.05661971830986,41.36,68.20905660066938,71
EM,2017-10-10,L. gulosus,61,60,11.74734012447073,4,Centrarchidae,52.79110344827586,47.564,19.367608869200783,29,62.05661971830986,41.36,68.20905660066938,71
