site_code,collection_date,family,lowest_taxon,L_mu_com,L_mu_fam,L_mu_spe
EM,2018-07-05,Leuciscidae,N. texanus,134.05544444444445,44.73866666666667,44.400000000000006
EM,2018-07-05,Leuciscidae,P. vigilax,134.05544444444445,44.73866666666667,42
EM,2018-09-01,Clupeidae,D. cepedianum,106.3897,137.922,137.922
EM,2018-09-01,Poeciliidae,G. affinis,106.3897,23.25,23.25
EM,2018-09-01,Ictaluridae,I. punctatus,106.3897,70.33,70.33
EM,2018-09-01,Centrarchidae,L. auritus,106.3897,77.95325,42.763
EM,2018-09-01,Centrarchidae,L. cyanellus,106.3897,77.95325,80.96000000000001
EM,2018-09-01,Centrarchidae,L. macrochirus,106.3897,77.95325,70.144
EM,2018-09-01,Centrarchidae,L. megalotis,106.3897,77.95325,82.03066666666666
EM,2018-09-01,Lepisosteidae,L. oculatus,106.3897,442.25,442.25
EM,2018-09-01,Centrarchidae,P. annularis,106.3897,77.95325,144.76
EM,2020-01-14,Poeciliidae,G. affinis,72.98507462686567,26.571428571428573,26.571428571428573
EM,2020-01-14,Catostomidae,I. bubalus,72.98507462686567,437.5,437.5
EM,2020-01-14,Centrarchidae,L. cyanellus,72.98507462686567,62.56363636363636,69.57142857142857
EM,2020-01-14,Centrarchidae,L. gulosus,72.98507462686567,62.56363636363636,71.75
EM,2020-01-14,Centrarchidae,L. macrochirus,72.98507462686567,62.56363636363636,82.625
EM,2020-01-14,Centrarchidae,L. megalotis,72.98507462686567,62.56363636363636,52.37931034482759
EM,2020-01-14,Lepisosteidae,L. oculatus,72.98507462686567,310,310
EM,2020-01-14,Ictaluridae,N. gyrinus,72.98507462686567,39,39
EM,2020-05-30,Leuciscidae,C. venusta,67.66666666666667,51,51
EM,2020-05-30,Poeciliidae,G. affinis,67.66666666666667,29.833333333333332,29.833333333333332
EM,2020-05-30,Centrarchidae,L. cyanellus,67.66666666666667,63.02272727272727,52
EM,2020-05-30,Centrarchidae,L. gulosus,67.66666666666667,63.02272727272727,80.5
EM,2020-05-30,Centrarchidae,L. macrochirus,67.66666666666667,63.02272727272727,65.29411764705883
EM,2020-05-30,Centrarchidae,L. megalotis,67.66666666666667,63.02272727272727,60.78260869565217
EM,2020-05-30,Lepisosteidae,L. oculatus,67.66666666666667,300,300
EM,2020-09-08,Clupeidae,D. petenense,69.9074074074074,204,204
EM,2020-09-08,Poeciliidae,G. affinis,69.9074074074074,25.375,25.375
EM,2020-09-08,Centrarchidae,L. cyanellus,69.9074074074074,71.46511627906976,59.57142857142857
EM,2020-09-08,Centrarchidae,L. gulosus,69.9074074074074,71.46511627906976,95.33333333333333
EM,2020-09-08,Centrarchidae,L. macrochirus,69.9074074074074,71.46511627906976,73.71428571428571
EM,2020-09-08,Centrarchidae,L. megalotis,69.9074074074074,71.46511627906976,69.16
EM,2020-09-08,Lepisosteidae,L. oculatus,69.9074074074074,241,241
EM,2020-09-08,Centrarchidae,M. salmoides,69.9074074074074,71.46511627906976,125
EM,2020-09-08,Leuciscidae,P. vigilax,69.9074074074074,54,54
EM,2020-11-05,Cyprinidae,C. carpio,100.11392405063292,552.5,552.5
EM,2020-11-05,Leuciscidae,C. venusta,100.11392405063292,43.833333333333336,46.333333333333336
EM,2020-11-05,Pecidae,E. gracile,100.11392405063292,42,42
EM,2020-11-05,Poeciliidae,G. affinis,100.11392405063292,29,29
EM,2020-11-05,Catostomidae,I. bubalus,100.11392405063292,553,553
EM,2020-11-05,Centrarchidae,L. cyanellus,100.11392405063292,63.11904761904762,60
EM,2020-11-05,Centrarchidae,L. gulosus,100.11392405063292,63.11904761904762,56
EM,2020-11-05,Centrarchidae,L. macrochirus,100.11392405063292,63.11904761904762,59.333333333333336
EM,2020-11-05,Centrarchidae,L. megalotis,100.11392405063292,63.11904761904762,56.5
EM,2020-11-05,Lepisosteidae,L. oculatus,100.11392405063292,386,386
EM,2020-11-05,Leuciscidae,N. texanus,100.11392405063292,43.833333333333336,41.333333333333336
