site_code,collection_date,RR_shannon,RR_simpson,RR_richness,LRR_shannon,LRR_simpson,LRR_richness
GC,2018-02-11,0.05044161998200121,-0.30424831520708356,0.857020425653478,-2.986938651390825,-2.986938651390825,-0.15429352676700558
PL,2018-02-11,-0.29567694340183004,-0.2855429732757663,-0.22219753360737698,-1.2184878281031173,-1.2184878281031173,-1.5041885017150027
PL,2018-03-02,-0.39194269339924265,-0.5377280656425356,-0.22219753360737698,-0.9366396401865736,-0.9366396401865736,-1.5041885017150027
WM,2018-03-02,0.4183750106139265,0.252837824986182,0.9998333611064822,-0.8713770940812376,-0.8713770940812376,-1.6665277932080425e-4
MR,2018-04-01,-0.432919892431294,-0.42596716226798165,-0.4545041359876375,-0.8372025740277023,-0.8372025740277023,-0.7885482653231982
PL,2018-04-01,-0.41352022523997944,-0.4458357293115897,-0.16665277893508876,-0.8830488534050561,-0.8830488534050561,-1.7918427990893588
PD,2018-05-10,-0.7555391973605384,-0.7283550089045434,-0.666611115740355,-0.2803236159407635,-0.2803236159407635,-0.40554843796946827
PL,2018-05-10,-0.442758235018496,-0.4692102154933458,-0.24997916840263312,-0.8147314027891829,-0.8147314027891829,-1.3863776909811947
PL,2018-06-07,-0.39997014308131035,-0.4015090123923416,-0.24997916840263312,-0.916365376956754,-0.916365376956754,-1.3863776909811947
GC,2018-07-27,0.23411569040051292,0.18903518660262514,0,-1.4519398823805434,-1.4519398823805434,-100000
MR,2018-07-27,-0.4653856537581279,-0.21494826329002467,-0.6665926008221309,-0.7648888542054638,-0.7648888542054638,-0.4055762130468932
PL,2018-07-27,0.06925102018525475,0.2237827955300951,-0.3333055578701775,-2.6700174021061667,-2.6700174021061667,-1.0986956185294137
PL,2018-09-25,0.05556967038081435,0.5577539617355122,-0.49995833680526625,-2.890117723311024,-2.890117723311024,-0.6932305104212493
SF,2017-11-05,0.1577460199545815,0.21943774714994824,0.33327778703549404,-1.8467690079609906,-1.8467690079609906,-1.0987789414474307
TR,2017-11-05,1.0831680429087578,1.0045388417739005,0.7998400319936012,0.07989012025613727,0.07989012025613727,-0.22334353131687612
SF,2017-12-11,-0.1408303436197317,-0.2361280002061698,0,-1.9601993498139838,-1.9601993498139838,-100000
TR,2017-12-11,0.14226722384637042,0.185467297393053,-0.3999200159968006,-1.9500481317844152,-1.9500481317844152,-0.9164907118768214
SF,2018-06-01,-0.5998211375695397,-0.612297582567318,-0.4999500049995001,-0.5111237722586028,-0.5111237722586028,-0.6932471755602785
TR,2018-06-01,-0.4876438924426423,-0.38491403256294343,-0.4999375078115236,-0.7181698681116471,-0.7181698681116471,-0.6932721727480963
SF,2018-09-18,-0.1915065448314424,-0.3075383980152171,0,-1.6528332942799497,-1.6528332942799497,-100000
WM,2017-09-30,-0.15277643327360999,-0.3432570364809578,0.142836737608913,-1.878779646647325,-1.878779646647325,-1.9460529959950605
EM,2017-12-02,-0.38540550409211344,-0.4169110526530116,0.16665277893508876,-0.9534592415986265,-0.9534592415986265,-1.7918427990893588
WM,2017-12-02,0.30982092914358605,0.3517817481393593,0.7776913676258194,-1.1717607963297003,-1.1717607963297003,-0.2514255332196349
EM,2018-09-01,-0.07360713171137663,-0.0825557429802626,-0.11109876680368849,-2.609013359689239,-2.609013359689239,-2.197335682274948
WM,2018-09-01,0.8582591784531645,0.8994641269489839,0.714183688044565,-0.15284915231973803,-0.15284915231973803,-0.33661508356096026
EM,2018-02-09,0.21567335348041672,0.3507137504061851,0.3749531308586427,-1.5339902683112219,-1.5339902683112219,-0.9809542451998772
WM,2018-02-09,0.45831659967926525,0.2708819728457205,0.8331944675887352,-0.7801950680067677,-0.7801950680067677,-0.18248820957327547
GC,2017-10-03,-0.5818733839448414,-0.6003090839960018,-0.5832847262728106,-0.541502408278243,-0.541502408278243,-0.539079830593991
GC,2017-11-04,-0.5111119690344307,-0.606468821840902,-0.08332638946754438,-0.6711665952969535,-0.6711665952969535,-2.484989979649304
GC,2018-03-30,-0.2665808208022163,-0.4428559159308749,0.285673475217826,-1.3220778138020162,-1.3220778138020162,-1.2529058154351154
PD,2018-03-30,-0.17108737773138813,-0.19248091447883903,-0.181801654395055,-1.7655808721004436,-1.7655808721004436,-1.7048389971973534
GC,2018-06-06,0.05727169726994647,0.027235673732560677,0,-2.8599487167321844,-2.8599487167321844,-100000
MR,2018-06-06,-0.4529751842013628,-0.3749531308586427,-0.545404963185165,-0.7919179360120817,-0.7919179360120817,-0.6062267085292437
GC,2018-11-15,-0.48439363381094713,-0.49501837549444894,-0.41663194733772185,-0.7248574098112238,-0.7248574098112238,-0.875552067215204
MR,2017-09-26,-0.7942913640429179,-0.6633570804883542,-0.8887901344295079,-0.23030492781444598,-0.23030492781444598,-0.11789414059511215
MR,2017-12-05,-0.2521725790059387,-0.01941234967685919,-0.3845858010922237,-1.3776415885396327,-1.3776415885396327,-0.9555883651459313
MR,2018-02-05,-0.3257308938808307,-0.4779523278912667,0.6249218847644045,-1.1216837174039025,-1.1216837174039025,-0.4701286214338865
MR,2018-03-05,-0.3797469509723771,-0.4585811049549313,-0.2499687539057618,-0.9682501665776527,-0.9682501665776527,-1.3864193533080416
PD,2018-03-05,-0.1924457947750739,-0.27815103842662886,-0.181801654395055,-1.6479407504909944,-1.6479407504909944,-1.7048389971973534
PD,2017-12-04,0.043882039452052594,0.12844930532447624,-0.05713795960346252,-3.126250166714139,-3.126250166714139,-2.862286591541924
AR,2018-08-01,-0.3826711052646658,-0.22661519332803487,-0.5999400059994001,-0.9605793917143132,-0.9605793917143132,-0.5109256187663239
PD,2018-08-01,0.3779472814151815,0.43446734631223555,0.16665277893508876,-0.9730005602446019,-0.9730005602446019,-1.7918427990893588
PD,2018-08-31,0.04734111048206794,0.019653880290642602,0,-3.05037621758655,-3.05037621758655,-100000
TR,2018-08-31,-0.5827128065703732,-0.5676458431309145,-0.571346950435652,-0.5400608270921716,-0.5400608270921716,-0.5597586348751701
SF,2017-09-19,0.0828784152307133,-0.004492226147867897,0.16663889351774702,-2.4903806219048237,-2.4903806219048237,-1.7919261220073759
SF,2018-02-02,0.2794721385105924,0.22526798786757962,-0.16663889351774702,-1.274852674680947,-1.274852674680947,-1.7919261220073759
TR,2018-02-02,-0.4311032079656589,-0.3889088105286221,-0.2499687539057618,-0.8414077559074913,-0.8414077559074913,-1.3864193533080416
PD,2017-10-04,-0.19932864640061423,-0.17984882301032584,-0.31425877781904404,-1.6128003270164477,-1.6128003270164477,-1.157538499303498
TR,2017-09-25,-0.7080543578709976,-0.678302288373436,-0.428510212826739,-0.34523441158164236,-0.34523441158164236,-0.8474407073269509
